ID,State,District,Market,Commodity,Variety,Date,Min_Price,Max_Price,Modal_Price
309,Karnataka,Bangalore,Yeshwanthpur,Brinjal,Local,2026-02-05,2046,2654,2320
310,Maharashtra,Nashik,Lasalgaon,Onion,Red,2026-03-12,3468,4380,3963
311,West Bengal,Nadia,Ranaghat,Rice,Sona Masuri,2026-06-02,3712,4412,4180
312,West Bengal,Hooghly,Chinsurah,Potato,Local,2026-03-27,2117,2805,2454
313,Maharashtra,Pune,Baramati,Green Chilli,Local,2026-03-18,3546,5080,4969
314,West Bengal,Burdwan,Katwa,Onion,Red,2026-03-23,2867,3919,3872
315,Karnataka,Bangalore,Bangalore,Brinjal,Round,2026-04-11,2339,2755,2627
316,West Bengal,Hooghly,Sheoraphuly,Cabbage,Local,2026-04-23,1629,1963,1838
317,Karnataka,Mysore,Mysore,Wheat,Lokwan,2026-03-06,2846,3302,3212
318,Maharashtra,Pune,Pune,Cabbage,Local,2026-05-30,1734,2306,2252
319,Karnataka,Mysore,Mysore,Maize,Yellow,2026-01-28,1977,2639,2147
320,Karnataka,Bangalore,Bangalore,Maize,Local,2026-01-28,1646,1996,1778
321,West Bengal,Hooghly,Chinsurah,Maize,Local,2026-04-29,2597,3051,2773
322,West Bengal,Burdwan,Burdwan,Wheat,Common,2026-01-22,2296,2740,2474
323,Maharashtra,Pune,Baramati,Rice,Sona Masuri,2026-03-31,3526,4024,3750
324,Karnataka,Mysore,Nanjangud,Tomato,Hybrid,2026-01-12,2110,2432,2285
325,Karnataka,Bangalore,Yeshwanthpur,Rice,Common,2026-05-22,2808,3446,3381
326,Maharashtra,Pune,Pune,Brinjal,Local,2026-02-17,2625,3597,3067
327,Maharashtra,Nashik,Lasalgaon,Cabbage,Local,2026-04-10,1005,1413,1110
328,Maharashtra,Nashik,Lasalgaon,Cauliflower,Local,2026-04-04,2885,3385,3119
329,West Bengal,Nadia,Ranaghat,Cauliflower,Local,2026-06-02,2929,3853,3330
330,Karnataka,Bangalore,Bangalore,Maize,Local,2026-06-08,1795,2511,2484
331,Karnataka,Mysore,Mysore,Onion,Red,2026-01-31,2871,3483,2990
332,West Bengal,Nadia,Krishnanagar,Cauliflower,Local,2026-04-18,2018,2710,2451
333,West Bengal,Burdwan,Burdwan,Cauliflower,Local,2026-05-06,2762,3204,2857
334,Maharashtra,Pune,Pune,Maize,Yellow,2026-05-05,1880,2278,2076
335,Karnataka,Mysore,Nanjangud,Cabbage,Local,2026-04-24,2008,2392,2050
336,Karnataka,Bangalore,Yeshwanthpur,Wheat,Lokwan,2026-03-12,2205,3055,2500
337,West Bengal,Burdwan,Katwa,Cauliflower,Local,2026-05-27,1980,2554,2536
338,Maharashtra,Nashik,Nashik,Cauliflower,Local,2026-04-19,1881,2557,2550
339,West Bengal,Nadia,Krishnanagar,Cabbage,Local,2026-03-31,1116,1640,1236
340,West Bengal,Hooghly,Chinsurah,Green Chilli,Local,2026-02-12,5231,5815,5442
341,West Bengal,North 24 Parganas,Habra,Cauliflower,Local,2026-06-02,3684,4328,4015
342,Karnataka,Mysore,Nanjangud,Green Chilli,Local,2026-05-12,6342,7032,6480
343,Maharashtra,Nashik,Nashik,Onion,Local,2026-03-05,2485,3113,2738
344,Karnataka,Mysore,Nanjangud,Onion,Red,2026-06-10,3362,4430,4287
345,West Bengal,North 24 Parganas,Habra,Cauliflower,Local,2026-06-27,2929,3693,3428
346,Maharashtra,Nashik,Lasalgaon,Cabbage,Local,2026-01-17,1941,2647,2164
347,Maharashtra,Nashik,Nashik,Wheat,Common,2026-03-14,2315,3175,2906
348,West Bengal,Burdwan,Katwa,Potato,Jyoti,2026-01-26,1891,2591,2361
349,West Bengal,North 24 Parganas,Barasat,Cabbage,Local,2026-01-01,1875,2277,2227
350,West Bengal,Nadia,Krishnanagar,Wheat,Lokwan,2026-06-17,2491,3047,2575
351,Maharashtra,Nashik,Lasalgaon,Brinjal,Round,2026-06-29,3077,3615,3516
352,Karnataka,Bangalore,Yeshwanthpur,Potato,Jyoti,2026-05-03,1496,1862,1799
353,West Bengal,Burdwan,Burdwan,Potato,Local,2026-01-31,2114,2846,2824
354,West Bengal,Burdwan,Burdwan,Rice,Sona Masuri,2026-01-23,2807,3211,2967
355,Maharashtra,Pune,Pune,Brinjal,Local,2026-06-14,2963,3409,2998
356,Karnataka,Bangalore,Yeshwanthpur,Cabbage,Local,2026-02-24,2259,2713,2469
357,Karnataka,Mysore,Mysore,Tomato,Local,2026-02-05,1958,2650,2317
358,Maharashtra,Pune,Pune,Rice,Sona Masuri,2026-06-15,2695,3249,2986
359,Karnataka,Bangalore,Bangalore,Rice,Common,2026-04-11,2925,3885,2980
360,West Bengal,Burdwan,Katwa,Tomato,Local,2026-05-08,1805,2375,1817
361,Maharashtra,Pune,Pune,Brinjal,Round,2026-04-04,2419,3417,2595
362,Maharashtra,Nashik,Lasalgaon,Green Chilli,Local,2026-01-04,3703,4443,3743
363,West Bengal,Burdwan,Katwa,Cauliflower,Local,2026-04-19,3255,3639,3582
364,Karnataka,Bangalore,Bangalore,Tomato,Hybrid,2026-01-21,3536,4252,3695
365,Karnataka,Mysore,Nanjangud,Green Chilli,Local,2026-03-21,5264,6458,5752
366,West Bengal,Hooghly,Sheoraphuly,Brinjal,Local,2026-04-27,2592,3514,2648
367,Maharashtra,Nashik,Lasalgaon,Potato,Jyoti,2026-06-29,1420,1802,1674
368,Maharashtra,Pune,Pune,Maize,Yellow,2026-03-10,1694,2388,1724
369,Maharashtra,Pune,Baramati,Cauliflower,Local,2026-03-09,3933,4389,4187
370,Maharashtra,Pune,Pune,Cabbage,Local,2026-04-05,1307,1737,1702
371,West Bengal,North 24 Parganas,Barasat,Cauliflower,Local,2026-01-12,1638,2062,1661
372,Maharashtra,Pune,Baramati,Onion,Local,2026-01-10,3885,5043,4344
373,Maharashtra,Nashik,Nashik,Maize,Local,2026-01-20,2630,3310,2752
374,Karnataka,Bangalore,Yeshwanthpur,Rice,Common,2026-04-13,2553,3329,2842
375,Maharashtra,Pune,Pune,Cauliflower,Local,2026-01-03,3059,3563,3208
376,Karnataka,Mysore,Mysore,Cabbage,Local,2026-06-01,1863,2557,2063
377,Karnataka,Bangalore,Yeshwanthpur,Potato,Local,2026-01-07,1550,2126,1904
378,Karnataka,Bangalore,Bangalore,Potato,Local,2026-03-20,1504,1908,1775
379,West Bengal,Burdwan,Katwa,Potato,Jyoti,2026-03-13,1534,1856,1652
380,Karnataka,Mysore,Nanjangud,Cabbage,Local,2026-05-29,1116,1674,1252
381,Karnataka,Mysore,Mysore,Green Chilli,Local,2026-04-22,5430,5996,5672
382,Maharashtra,Pune,Baramati,Brinjal,Round,2026-03-23,2438,3016,2677
383,West Bengal,Hooghly,Sheoraphuly,Green Chilli,Local,2026-02-09,3198,3666,3428
384,Maharashtra,Pune,Baramati,Tomato,Hybrid,2026-02-23,3344,3958,3818
385,Maharashtra,Nashik,Lasalgaon,Onion,Red,2026-06-30,4480,4862,4590
386,Maharashtra,Nashik,Lasalgaon,Rice,Sona Masuri,2026-04-12,3651,4051,3997
387,Maharashtra,Pune,Pune,Potato,Local,2026-04-26,1828,2510,2391
388,West Bengal,North 24 Parganas,Habra,Tomato,Local,2026-02-01,1683,2013,1796
389,West Bengal,Hooghly,Chinsurah,Maize,Yellow,2026-05-30,2718,3282,2794
390,West Bengal,North 24 Parganas,Barasat,Cabbage,Local,2026-01-24,1698,2060,1719
391,Maharashtra,Nashik,Lasalgaon,Green Chilli,Local,2026-04-12,4852,5212,5047
392,Karnataka,Mysore,Mysore,Maize,Yellow,2026-02-17,2070,2656,2526
393,West Bengal,North 24 Parganas,Barasat,Wheat,Common,2026-04-16,2872,3734,3362
394,West Bengal,North 24 Parganas,Habra,Brinjal,Local,2026-04-18,1894,2522,2432
395,West Bengal,North 24 Parganas,Habra,Maize,Local,2026-05-20,2466,3118,3045
396,Karnataka,Mysore,Nanjangud,Wheat,Lokwan,2026-01-07,2271,3181,2495
397,West Bengal,Nadia,Krishnanagar,Cabbage,Local,2026-05-30,1486,1866,1537
398,West Bengal,Hooghly,Chinsurah,Cauliflower,Local,2026-02-26,3611,4705,4337
399,West Bengal,Hooghly,Sheoraphuly,Green Chilli,Local,2026-06-28,3714,5224,3771
400,Karnataka,Mysore,Mysore,Green Chilli,Local,2026-05-07,4754,5686,4933
401,Maharashtra,Nashik,Lasalgaon,Potato,Jyoti,2026-06-04,1669,1979,1938
402,Maharashtra,Nashik,Nashik,Green Chilli,Local,2026-02-03,4064,4726,4395
403,West Bengal,North 24 Parganas,Barasat,Green Chilli,Local,2026-01-29,5779,7155,6526
404,West Bengal,Nadia,Ranaghat,Green Chilli,Local,2026-03-28,3756,4716,3895
405,West Bengal,Burdwan,Katwa,Maize,Yellow,2026-05-24,2266,2794,2445
406,Maharashtra,Pune,Baramati,Onion,Local,2026-01-01,3996,5096,4062
407,West Bengal,Nadia,Krishnanagar,Green Chilli,Local,2026-05-08,3257,3895,3336
408,West Bengal,Nadia,Ranaghat,Onion,Local,2026-06-21,3197,3953,3208
409,Maharashtra,Nashik,Lasalgaon,Tomato,Hybrid,2026-03-07,1908,2576,1909
410,West Bengal,Burdwan,Katwa,Brinjal,Local,2026-04-16,2466,3152,2825
411,Karnataka,Mysore,Mysore,Cabbage,Local,2026-02-11,1956,2292,1973
412,Maharashtra,Nashik,Nashik,Wheat,Lokwan,2026-01-19,2513,2987,2967
413,Maharashtra,Nashik,Lasalgaon,Cauliflower,Local,2026-03-28,3596,3958,3816
414,Karnataka,Bangalore,Bangalore,Onion,Local,2026-01-26,3301,3811,3799
415,West Bengal,Burdwan,Katwa,Wheat,Common,2026-03-02,2323,2673,2524
416,Karnataka,Mysore,Mysore,Potato,Local,2026-01-01,1865,2209,2015
417,Karnataka,Mysore,Mysore,Tomato,Local,2026-02-22,2200,2798,2283
418,Maharashtra,Nashik,Nashik,Brinjal,Round,2026-05-06,3144,4120,3415
419,West Bengal,Burdwan,Burdwan,Maize,Local,2026-04-05,1918,2446,1963
420,Maharashtra,Pune,Baramati,Wheat,Lokwan,2026-03-10,2796,3158,2873
421,Karnataka,Bangalore,Yeshwanthpur,Maize,Local,2026-05-31,2084,2446,2282
422,Karnataka,Mysore,Nanjangud,Green Chilli,Local,2026-05-02,3994,4454,4196
423,Karnataka,Bangalore,Yeshwanthpur,Tomato,Hybrid,2026-02-14,2226,2742,2423
424,West Bengal,North 24 Parganas,Habra,Tomato,Hybrid,2026-02-21,2123,2687,2450
425,Karnataka,Bangalore,Yeshwanthpur,Brinjal,Round,2026-05-22,2176,2758,2708
426,Maharashtra,Nashik,Nashik,Tomato,Hybrid,2026-02-08,2206,2608,2260
427,Karnataka,Bangalore,Bangalore,Cauliflower,Local,2026-04-16,2535,3227,3205
428,Maharashtra,Pune,Pune,Onion,Red,2026-04-14,2323,3255,2946
429,Karnataka,Mysore,Mysore,Brinjal,Round,2026-06-26,2111,2461,2354
430,Maharashtra,Pune,Pune,Maize,Local,2026-03-21,1973,2775,2685
431,Karnataka,Bangalore,Yeshwanthpur,Onion,Red,2026-04-24,3227,3801,3653
432,Karnataka,Bangalore,Yeshwanthpur,Cabbage,Local,2026-04-15,1848,2536,2376
433,Maharashtra,Nashik,Lasalgaon,Tomato,Hybrid,2026-05-10,3233,3671,3632
434,Karnataka,Bangalore,Yeshwanthpur,Rice,Common,2026-01-15,3144,3476,3377
435,West Bengal,Nadia,Krishnanagar,Wheat,Common,2026-04-29,2564,3270,3214
436,West Bengal,North 24 Parganas,Barasat,Maize,Local,2026-06-02,2473,2953,2918
437,Maharashtra,Pune,Baramati,Onion,Red,2026-06-26,2275,2865,2303
438,Maharashtra,Nashik,Lasalgaon,Green Chilli,Local,2026-02-26,5271,6031,5964
439,West Bengal,Nadia,Ranaghat,Cauliflower,Local,2026-06-24,1565,2107,1700
440,Karnataka,Bangalore,Yeshwanthpur,Rice,Sona Masuri,2026-06-05,2911,3939,3474
441,Maharashtra,Pune,Baramati,Cabbage,Local,2026-02-25,1928,2382,2274
442,Karnataka,Mysore,Mysore,Potato,Local,2026-05-24,1968,2556,2273
443,Karnataka,Bangalore,Bangalore,Tomato,Hybrid,2026-03-12,2840,3422,3107
444,Karnataka,Mysore,Mysore,Onion,Local,2026-01-15,4094,5220,4748
445,Karnataka,Bangalore,Yeshwanthpur,Cabbage,Local,2026-03-08,1804,2310,2002
446,Karnataka,Bangalore,Yeshwanthpur,Maize,Yellow,2026-06-25,2418,3370,3221
447,Maharashtra,Pune,Baramati,Onion,Local,2026-03-17,2208,2990,2339
448,Karnataka,Mysore,Mysore,Maize,Yellow,2026-02-26,2263,2791,2577
449,Maharashtra,Pune,Baramati,Wheat,Common,2026-04-29,3061,3481,3301
450,West Bengal,North 24 Parganas,Habra,Rice,Common,2026-06-24,3160,4002,3465
451,Maharashtra,Nashik,Lasalgaon,Onion,Local,2026-03-29,3258,4494,3551
452,Maharashtra,Nashik,Lasalgaon,Cabbage,Local,2026-06-11,1332,1792,1656
453,West Bengal,North 24 Parganas,Habra,Wheat,Lokwan,2026-02-13,2759,3221,3009
454,West Bengal,Hooghly,Chinsurah,Brinjal,Round,2026-04-20,3138,4414,3923
455,West Bengal,North 24 Parganas,Barasat,Maize,Yellow,2026-03-24,2640,3134,2649
456,Karnataka,Bangalore,Yeshwanthpur,Rice,Sona Masuri,2026-03-21,2862,3266,3058
457,Karnataka,Mysore,Mysore,Tomato,Local,2026-03-18,2608,3374,3353
458,Karnataka,Mysore,Nanjangud,Onion,Red,2026-05-06,3137,4205,3522
459,West Bengal,Burdwan,Burdwan,Rice,Common,2026-02-03,2707,3757,2751
460,Karnataka,Bangalore,Yeshwanthpur,Maize,Yellow,2026-04-07,2149,2497,2453
461,West Bengal,North 24 Parganas,Barasat,Potato,Jyoti,2026-04-17,1807,2301,1870
462,Karnataka,Mysore,Nanjangud,Onion,Local,2026-06-27,4622,4940,4776
463,Maharashtra,Nashik,Nashik,Green Chilli,Local,2026-04-18,5332,7472,5761
464,Karnataka,Bangalore,Bangalore,Tomato,Local,2026-05-08,2152,3074,2356
465,Maharashtra,Nashik,Nashik,Brinjal,Round,2026-02-11,1590,2170,2098
466,West Bengal,Burdwan,Katwa,Rice,Common,2026-01-04,3934,4416,4398
467,West Bengal,Burdwan,Burdwan,Tomato,Local,2026-01-26,2369,3327,2605
468,Maharashtra,Pune,Baramati,Cabbage,Local,2026-01-26,1397,1717,1545
469,Maharashtra,Pune,Baramati,Tomato,Local,2026-01-12,1654,2024,1993
470,Karnataka,Bangalore,Bangalore,Maize,Local,2026-06-09,2152,2546,2342
471,Maharashtra,Nashik,Lasalgaon,Brinjal,Round,2026-04-27,2009,2703,2498
472,Maharashtra,Nashik,Lasalgaon,Onion,Local,2026-02-10,2261,2987,2865
473,Maharashtra,Pune,Pune,Green Chilli,Local,2026-04-02,5325,5683,5675
474,Karnataka,Bangalore,Bangalore,Cabbage,Local,2026-04-16,1941,2263,1973
475,Maharashtra,Pune,Pune,Cauliflower,Local,2026-06-21,2770,3600,3305
476,Karnataka,Bangalore,Bangalore,Rice,Sona Masuri,2026-03-30,3615,4703,3919
477,Karnataka,Bangalore,Yeshwanthpur,Onion,Red,2026-05-07,2689,3065,2940
478,Maharashtra,Nashik,Nashik,Wheat,Lokwan,2026-05-10,2197,3059,2855
479,Maharashtra,Pune,Pune,Tomato,Hybrid,2026-04-24,3539,4755,3719
480,Maharashtra,Pune,Baramati,Tomato,Hybrid,2026-06-17,1696,2048,1902
481,Maharashtra,Nashik,Lasalgaon,Tomato,Hybrid,2026-05-11,3742,4464,4412
482,Karnataka,Mysore,Nanjangud,Maize,Yellow,2026-02-27,2411,3049,2984
483,Karnataka,Mysore,Nanjangud,Cabbage,Local,2026-01-25,2286,2812,2288
484,Maharashtra,Pune,Baramati,Cauliflower,Local,2026-06-29,2074,2396,2158
485,Maharashtra,Nashik,Nashik,Tomato,Hybrid,2026-06-06,2356,2848,2417
486,Maharashtra,Nashik,Nashik,Rice,Sona Masuri,2026-01-28,3475,3821,3799
487,Karnataka,Bangalore,Bangalore,Cabbage,Local,2026-05-08,923,1493,972
488,Karnataka,Mysore,Nanjangud,Cauliflower,Local,2026-06-27,3842,4496,3973
489,West Bengal,Burdwan,Katwa,Cauliflower,Local,2026-04-18,2526,3106,2933
490,Maharashtra,Pune,Baramati,Onion,Local,2026-04-16,3993,5341,4605
491,Karnataka,Mysore,Mysore,Rice,Common,2026-06-09,2894,3896,3247
492,Karnataka,Bangalore,Yeshwanthpur,Cauliflower,Local,2026-01-30,2805,3679,3296
493,Karnataka,Mysore,Nanjangud,Brinjal,Local,2026-05-14,1862,2174,2057
494,West Bengal,North 24 Parganas,Barasat,Rice,Sona Masuri,2026-02-11,2887,3885,3143
495,West Bengal,North 24 Parganas,Habra,Rice,Common,2026-04-02,3472,3980,3787
496,Karnataka,Bangalore,Bangalore,Rice,Sona Masuri,2026-06-27,3962,4358,4157
497,Maharashtra,Pune,Baramati,Cauliflower,Local,2026-01-04,2576,3082,2893
498,Maharashtra,Nashik,Nashik,Green Chilli,Local,2026-02-19,3595,4813,3958
499,Karnataka,Bangalore,Yeshwanthpur,Onion,Local,2026-04-07,1997,2735,2282
500,Karnataka,Mysore,Mysore,Onion,Red,2026-01-02,3165,3941,3891
